course_title,topic_title,filename,url
دوره جامع داخلی پزشکی,Anemia and Iron Deficiency – Red Cell Disorders,Lecturio_internal_hematology_Anemia And Iron Deficiency – Red Cell Disorders.mp4,https://plasmain.s3.ir-thr-at1.arvanstorage.ir/Lecturio%2Finternal%2Fhematology%2FAnemia%20And%20Iron%20Deficiency%20%E2%80%93%20Red%20Cell%20Disorders.mp4?versionId=
دوره جامع داخلی پزشکی,Polycythemia – Red Cell Disorders,Lecturio_internal_hematology_Polycythemia – Red Cell Disorders.mp4,https://plasmain.s3.ir-thr-at1.arvanstorage.ir/Lecturio%2Finternal%2Fhematology%2FPolycythemia%20%E2%80%93%20Red%20Cell%20Disorders.mp4?versionId=
دوره جامع داخلی پزشکی,Thalassemia – Red Cell Disorders,Lecturio_internal_hematology_Thalassemia – Red Cell Disorders.mp4,https://plasmain.s3.ir-thr-at1.arvanstorage.ir/Lecturio%2Finternal%2Fhematology%2FThalassemia%20%E2%80%93%20Red%20Cell%20Disorders.mp4?versionId=
دوره جامع داخلی پزشکی,Types of Anemia – Red Cell Disorders,Lecturio_internal_hematology_Types Of Anemia – Red Cell Disorders.mp4,https://plasmain.s3.ir-thr-at1.arvanstorage.ir/Lecturio%2Finternal%2Fhematology%2FTypes%20Of%20Anemia%20%E2%80%93%20Red%20Cell%20Disorders.mp4?versionId=
دوره جامع داخلی پزشکی,Acute Leukemia – Leukemia,Lecturio_internal_hematology_Acute Leukemia – Leukemia.mp4,https://plasmain.s3.ir-thr-at1.arvanstorage.ir/Lecturio%2Finternal%2Fhematology%2FAcute%20Leukemia%20%E2%80%93%20Leukemia.mp4?versionId=
دوره جامع داخلی پزشکی,Chronic Leukemia – Leukemia,Lecturio_internal_hematology_Chronic Leukemia – Leukemia.mp4,https://plasmain.s3.ir-thr-at1.arvanstorage.ir/Lecturio%2Finternal%2Fhematology%2FChronic%20Leukemia%20%E2%80%93%20Leukemia.mp4?versionId=
دوره جامع داخلی پزشکی,Types – Leukemia,Lecturio_internal_hematology_Types – Leukemia.mp4,https://plasmain.s3.ir-thr-at1.arvanstorage.ir/Lecturio%2Finternal%2Fhematology%2FTypes%20%E2%80%93%20Leukemia.mp4?versionId=
دوره جامع داخلی پزشکی,Aplastic Anemia – Hematopoietic Malignancies and Aplastic Anemia,Lecturio_internal_hematology_Aplastic Anemia – Hematopoietic Malignancies And Aplastic Anemia.mp4,https://plasmain.s3.ir-thr-at1.arvanstorage.ir/Lecturio%2Finternal%2Fhematology%2FAplastic%20Anemia%20%E2%80%93%20Hematopoietic%20Malignancies%20And%20Aplastic%20Anemia.mp4?versionId=
دوره جامع داخلی پزشکی,Myelodysplasia – Hematopoietic Malignancies and Aplastic Anemia,Lecturio_internal_hematology_Myelodysplasia – Hematopoietic Malignancies And Aplastic Anemia.mp4,https://plasmain.s3.ir-thr-at1.arvanstorage.ir/Lecturio%2Finternal%2Fhematology%2FMyelodysplasia%20%E2%80%93%20Hematopoietic%20Malignancies%20And%20Aplastic%20Anemia.mp4?versionId=
دوره جامع داخلی پزشکی,Hodgkin Lymphoma – Lymphoma,Lecturio_internal_hematology_Hodgkin Lymphoma – Lymphoma.mp4,https://plasmain.s3.ir-thr-at1.arvanstorage.ir/Lecturio%2Finternal%2Fhematology%2FHodgkin%20Lymphoma%20%E2%80%93%20Lymphoma.mp4?versionId=
